,title,author,genre,story
0,사랑 사이사이에 [개정판],글/그림 / 칸베 고로 / 15화 완결 / ,BL,"택배 기사 하루가 집에 가는 길에 만난 건, 다리에서 강으로 몸을 던지려는 「비싸 보이는」 한 남자. 사실 그 남자는 하루가 관계를 맺고 있는 사모님의 남편인데─?"
1,회사원 K의 비밀,글/그림 / 모락 / 61화 완결 / ,BL,"직장생활 5년 차 김대리. 그에겐 딱 한가지 남들에게 말하지 못하는 비밀이 있는데 바로 자신이 인간과 뱀파이어 사이에서 태어난 반쪽짜리 뱀파이어라는 것. 어느 날, 한 번의 실수가 그의 인생을 통째로 뒤바꾸고 마는데?!"
2,맥스 모하비 사건 파일[19세 완전판],글/그림 / 여름 숲 / 81화 완결 / ,BL,"살인자와 목격자, 그 남자들의 사정! ""너를 처음 본 순간, 진짜로 죽을지 모른다고 생각했어."" 사람을 죽여야 했던 소년과 그 장면을 숨죽여 지켜보던 소년. 그날의 사건으로 마피아 조직의 킬러로 성장한 맥스와 그의 흔적을 쫓아가는 크리스. 맥스의 대학 위장 입학으로 그 둘은 룸메이트로서 다시 만나게 된다. 조직과 자신의 정체를 알듯 말듯 선을 넘어오는 크리스가 맥스는 계속 신경 쓰이는데… 묘한 긴장감 속에 피어나는 이 느낌은?!"
3,폭풍의 그라운드 [단행본],글/그림 / 오일룡 / 11화 완결 / ,액션,"유비는 어릴 때부터 고질적인 무릎 부상이 따라다녀 선수 생명이 끝장난 불운의 축구천재였다. 그러나 공명의 도움을 받아 치료 후, 유비는 <폭풍 허리케인즈> 구단에 입단하여 재기에 도전한다."
4,비형랑 - 마지막 도깨비,글 / 한지혜 / 그림 / BONGUN / 25화 완결 / ,드라마,"트라우마를 치료하기 위해 찾아 나선 아버지. 귀신에 홀려 미쳐버린 아버지의 말 따위 전혀 신뢰할 수 없지만, 수첩 속 아버지는 비형을 이렇게 표현하고 있었다. 술, 도박, 여자에 환장하고, 사악하고 삐뚤어진 성격에 장난질을 즐기며, 무식하게 힘이 센... 도깨비라고!"
5,당신의 기억을 성형해드립니다,글/그림 / BONGUN / 38화 완료 / ,드라마,"불행한 기억이 지워지면, 우린 행복할 수 있을까? 세상 모든 불행을 안고 사는 남자 허공탁에게 나타난 그녀. '세상 그 누구도 불행해 아파하는 이 없도록' 기억술사 나상심이 '당신의 기억을 성형해 드립니다.'"
6,열컷남자,글/그림 / 부라노 / 27화 완결 / ,BL,불안증세가 있는 사촌동생이 걱정되어 개강총회까지 따라온 민혁! 곳에서 그는 호기심과 인간애(?)가 흘러 넘치는 이신준을 처음 만나게 되고… 그날은 둘에게 돌이킬 수 없는 하루가 되고 마는데..!
7,꽃피는 날까지 [BL][19세 완전판],글/그림 / MARA / 38화 완결 / ,BL,"#서양판타지#동양판타지#황자공#황자수#계약관계 태양과 빛의 나라 베슈타르 제국, 불과 순아의 나라 영화국은 오랫동안 이어진 전쟁 끝에 평화 조약을 맺어 나라의 안정을 되찾고자 했다. 그 조약에 따라 영화국의 대표 이연은 베슈타르 제국으로 떠나고, 그곳에서 칼릭스를 만나게 되는데…"
8,"좀 더 솔직해져 봐, 안아줄게 [개정판]",글/그림 / 칸자키 유즈 / 39화 완결 / ,로맨스,"""도망칠 거면 지금뿐이에요."" 짐승같은 그의 키스. 발이 미끄러져 지붕에서 떨어진 마나부를 구한 미남, 그는 마나부가 차기 여관장으로서 일하는 여관의 신입 고다이였다. 잘생기고 태도가 부드러우며 싱가폴의 전 일류 호텔맨이었던 고다이는 누가 봐도 여유롭고 멋진 남자. 그러나 그의 숨겨진 정체는, 상냥한 얼굴을 한 짐승! 이 이상은 봐줘!!"
9,눈이 마주친 순간 컬렉션 [할리퀸],글 / 샤론 켄드릭 / 그림 / 마하라 유우 / 138화 완결 / ,로맨스,<눈이 마주친 순간 컬렉션 [할리퀸]> 작품 구성 1. 디 시오네의 티아라 2. 환상의 로마 3. 밀당은 눈동자에서 4. 사랑은 서곡에서 시작되고 5. 영애를 산 대부호 6. 그 후로 오랫동안 7. 사랑의 사자는 갑자기 8. 태양 아래 눈동자 9. 숲 속의 영웅(벅혼 브라더스 1) 10. 초원의 기사(벅혼 브라더스 2) 11. 도시의 마녀(벅혼 브라더스 3) 12. 호수의 요정(벅혼 브라더스 4) 13. 유혹당한 신부(매혹의 형제 Ⅰ) 14. 잠시 동안의 신부(매혹의 형제 Ⅱ) 15. 낯선 파티의 연인 16. 아름다운 공작의 사랑의 시 17. 고지식한 남자와의 정사 18. 지중해의 세레나데 19. 비취 왕과 유리 공주 20. 테르한의 불꽃 21. 그의 비밀 22. 선택받은 신데렐라
