,id,title,author,genre,story,platform
0,0,악당들에게 키워지는 중입니다,"율리(Terapin),이아송,자은향",로판,"즐겨보던 로판 소설의 엑스트라 소녀로 빙의한 지 1년 만에 내가 곧 쫓겨날 신세라는 걸 알게 됐다. 차라리 내 발로 집을 나가겠다고 했더니, “사실은 이 아이가 내 따님입니다. 그렇지, 따님?” 사이코패스 망나니 공자의 눈에 들어 버렸다? ‘놀이 후에 상대한테 준 돈이 섬 하나를 살 정도였다던데?’ 그에게 어울려 주면 일확천금을 얻을 수 있다기에 훌륭히 딸 노릇을 하고, 몇 달 뒤 두둑해진 통장과 함께 자의 반 타의 반 집을 나왔다. “내가 떠나라고 할 때까지 계속 내 곁에 있거라.” 그런데, 나를 놀잇감으로 여기던 아빠가 날 찾아와 붙잡는다.",카카오웹툰
1,1,세이렌: 악당과 계약 가족이 되었다,"생얌,포야,설이수",로판,"아리아는 계약 결혼을 제안했다.그것도, 악마에게 영혼을 팔았다는 발렌타인의 대공자에게.자신을 지키고, 그를 지키기 위해서.[나와 결혼해.]아리아는 단풍잎 같은 손으로, 쪽지와 함께 혼인 서약서를 내밀었다.[계약 결혼이니까 10년 뒤에 이혼…….]그러자 어린 대공자는 쓰고 있던 쪽지를 빼앗아 쫙쫙 찢으며 말했다.“그래서, 도장은 어디에 찍으면 되지?”“크면 이혼해주겠다고 했잖아.”어느새 훌쩍 자란 악마 대공이, 그녀의 머리카락 위에 경건하게 입을 맞추며 말했다.“어른이 되었으니 어른의 계약을 해야지.”",카카오웹툰
2,2,"남편은 됐고, 돈이나 벌렵니다","몰코,주해온",로판,"여친 있는 남자의 아내가 되어 버렸다.음, 건드리지 말아야겠지?“그럼 넌 바닥에서 자.”“뭐?”싫은 눈치다.그래, 바닥은 딱딱하지.그렇다면 어쩔 수 없다.“손만 잡고 잘게. 누나 믿지?”그런데 어쩌다 남편과 첫날밤에 침대를 부숴 버린 걸까…….*황제의 눈밖에 나 유폐당한 황녀, 아리스티네.사실 그녀는 미래와 현재, 과거를 모두 볼 수  있는 <제왕안>의 소유자였다.정략혼의 희생양이 된 그녀는 괴물 같은 야만인과 맺어지는데…….“가장 귀한 것을 내 신부님께 드려야지.”괴물이라던 예비 남편님이 지나치게 멀쩡하다.하지만 이 떡은 남의 떡.‘돈이나 벌어야지.’자고로 황금 보기를 내 것같이 하라고 했다.<남편은 됐고, 돈이나 벌겠습니다.>과연 그녀는 돈방석에 앉아 자유롭게 사는 꿈을 이룰 수 있을까?아니면 두 마리의 토끼를 동시에 잡게 될까?",카카오웹툰
3,3,하필이면 까마귀가 되어버렸다,"글리,실베스타",로판,"사고로 죽은 뒤 여성향 게임에 환생, 아니 빙의해 버렸다.…그것도 까마귀로!내가 까마귀라니! 지나가는 엑스트라1도 아니고 까마귀라니!주변에 키워 줄 사람을 찾으려 했는데… 나타난 사람이 황태자?""레이넬, 넌 정말 어쩜 이리도 사랑스럽니.""""까아아아악, 까악!(그럼 날 데려다 키워 줘!)""나에게 이름도 지어 주고 사랑도 주는 황태자, 카무트.어차피 나는 까마귀니까 저놈이 좋아한다 해도,내가 그의 행동에 설레도 전혀 문제없겠지.문제가 없을 뻔했는데…….""안녕, 레이넬?""나한테 갑자기 무슨 일이 일어난 거지?",카카오웹툰
4,4,묵향 다크레이디,"이재헌,구깃,전동조",판타지,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다.",카카오웹툰
5,5,철혈검가 사냥개의 회귀,"이산책(REDICE STUDIO),설아랑,레고밟았어",판타지,"바스커빌 가문의 사냥개 '비키르'.사냥개로서 가문에 충성한 보답은 모함과 누명으로 얼룩진 단두대의 칼날이었다.""다시는 토끼를 잡고 나면 삶아지는 사냥개처럼 살지 않겠노라.""그런 그에게 죽음 대신 찾아온 뜻밖의 기회.어둠 속에서 송곳니를 갈고닦는 비키르의 눈이 붉게 빛났다.""기다려라. 휴고. 이번엔 반드시 네 목을 물어뜯어 주마.""주인을 향한 사냥개의 잔혹한 핏빛 복수가 시작된다.",카카오웹툰
6,6,레벨업 못하는 플레이어,"앵무새,스튜디오 크힛,가빈지",판타지,"18세의 나이에 '플레이어'로 각성한 김기규.'탑'을 오르고 '게이트'를 닫으며 인생이 탄탄대로일 줄 알았는데...튜토리얼을 아무리 클리어해도 레벨1.1일 1고블린을 해도 레벨1.5년이 지나도 레벨1.""누가 알았겠냐고, 이런 플레이어가 있는지.""그 누구도 몰랐다.탑을 뒤흔들 레벨1의 역대급 반전 능력을!",카카오웹툰
7,7,아기 다람쥐가 다 잘해요,"혹등고래,한소영,군청주단",로판,"사자 가문에서 태어난 유약한 다람쥐 수인 베아티.그 탓에 수도 이모집에서 구박데기로 살다유일한 친구이자 약혼자인 2황자에게꿈을 이루기 위해 떠나겠다고 말한 순간,'리테르 너 이 나쁜 새끼…!'그놈의 독니에 죽었다.다시 눈을 떴더니 2왕자와 엮이기 전의 어린 시절.이럴 때 필요한 건 뭐? 스피드.바로 몸만 빼내 친부 사자공의 영지로 튀었다.비록 환영받진 못하겠지만그래도 앞으로 발견될 이 엄청난 비법을 가져가 준다면, 내쫓지는 않을 거……""어서 오십시오, 아가씨!""""세상에! 언제 이렇게 자라셔서….""""아가씨가 저 앙증맞은 두 발로 걸으신다!""……응? 왜 이렇게 환영하지?저거 설마 내 동상이야?",카카오웹툰
8,8,이번 생은 가주가 되겠습니다,"앤트스튜디오,몬,김로아",로판,"“…한번 해 보자. 내가 가주가 되는 거야.”제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한말그대로 제국의 역사 자체!금수저 오브 금수저 인생 당첨!앞으로는 탄탄대로일 거라 생각했는데….아버지는 돌아가시고, 친척들은 문전박대,거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,마차에 치여버리기까지!“이건 해도 해도 너무하잖아….”하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!사랑하는 아버지를 다시 보는 것도 믿기지 않는데,내가 아버지와 가문을 살릴 수도 있다고?거기다 회귀 전 가문의 원수,2황자가 대형견마냥 졸졸 쫓아다니기까지?!좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!**************************",카카오웹툰
9,9,대공가에 입양된 성녀님,"황비노,송이바",로판,"“그만하고 싶어.더는… 이용당하면서 살고 싶지 않아.”성녀의 힘을 가졌음에도 내정된 가짜 성녀를 위해평생을 감금당한 채 살아야 했다.괴로움을 견디지 못해 죽고 나면 되돌아왔고,강제로 반복되는 회귀 끝에 다른 방법을 택한 다이나는우연히 대공가에 입양되는데...“테르시아 가문의 하나뿐인 딸로, 모든 걸 가지게 해주마.”새로운 이름과 함께 가족의 소중함을 알게 된 다이나는더 이상 신전에 이용 당하지 않기 위해 복수를 결심한다.",카카오웹툰
10,10,불패검선,"FIST CAT,김찬영,적하",무협,시골 객점의 아들 송우문.어릴 적부터 몸이 약했던 그는어느 날 노도사가 그려 주고 간산수화를 보고 바보가 된다.그렇게 동네에선 바보라 놀림받고부모에겐 한심한 아들로 자라지만스무 살이 되던 날!각성과 함께 산수화 속 절대무공을 꽃피운다!,카카오웹툰
11,11,환골탈태,마고(mago),드라마,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발....이 해괴하고 귀여운 생물체는 대체 무엇?!해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다.드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이!그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나?인간계 대행 서비스 센터는 연결이 되지 않고,졸지에 돌연변이 아기 고양이를 떠맡은 해골!설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데....아기 고양이... 키울 수 있을까?!마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 육아 대작전이 시작합니다!",카카오웹툰
12,12,튜토리얼이 너무 어렵다,"이마에 다이키,gandara",판타지,"gandara 퓨전 판타지 장편소설 '튜토리얼이 너무 어렵다' 가 웹툰으로 독자 여러분을 찾아갑니다.삶이 무료하던 어느 날, 내 눈앞에 나타난 초대 메세지. [튜토리얼 세계에 입장하시겠습니까?] 그리고 뒤이어 나타난 난이도 선택 창. [이지] [노말] [하드] [헬] 나는 주저없이 헬 난이도를 선택했다. 그리고 후회했다. 아무리 헬 난이도라지만, 이건 너무 심하잖아.",카카오웹툰
13,13,자격 미달 황후라 죄송합니다,"스푼코믹스,채정연",로판,"로제 에투와르는 불행한 결혼 생활 끝에, 남편인 황제의 손에 비참하게 죽었다.그런데 어쩐 일인지 그녀는 청혼받기 전 날로 회귀하는데.이대로 넋 놓고 있다가 또 그 새끼랑 결혼하게 생겼다.“제가 뮤리엘 후작 영애 대신 헬라반트로 가겠어요!”미친놈을 피해 달아난 북부 야만의 땅.그곳에는 미친놈 대신 짐승 같은 놈이 기다리고 있었다.막심 랑케르트.북부 야만인들의 땅 헬라반트의 왕이자 카시악스를 불안으로 미쳐버리게 만들 수 있는 유일한 남자.“너 같은 여자는 처음 보는군.”“나도 당신 같은 남자 처음 봐요.”로제는 결심했다.이 짐승을 잘 길들여 황제를 바꿔버리겠다고.",카카오웹툰
14,14,악당 공작가의 실세 막내딸입니다,"소은,아레카야자,슈퍼하양",로판,"고등학생 시절 취미로 쓰다 그친 소설 속에 빙의했다.하필이면 주연도, 조연도 아닌이름도 없는 일곱 살 고아 소녀에게 빙의했는데...남의 집에서 구박데기로 살다 학대에 지쳐 달아났더니붙잡혀 노예로 팔려 가 버렸다.이번 생은 정말 망했구나 싶었는데...노예 경매장에서 날 구해 낸 것은 바로소설 속 등장하는 악명 높은 악역,'헨리에트 시틀릿 웬즈그레이'였다.그는 황제를 꼭두각시처럼 부리고,귀족들의 목을 써는 게 취미인 원작 속 최대 최악의 악당이다.... 그 사람이 나의 친부라고?그런데, 악역이라는 명성과 다르게실제로 함께 지내보니 뭔가 좀 이상한 것 같다.""그래, 내 딸아.""""네가 하고 싶은 것은 다 해도 좋다. 우리 가문의 그 누구든,너의 말이라면 반드시 귀 기울이고 그대로 행하며 이룰 테니.""잠깐...내가 쓴 소설은 이렇지 않았던 것 같은데?",카카오웹툰
15,15,후작가의 역대급 막내아들,"케이,넉울히",판타지,"명망있는 후작가의 막내아들 잭 발란티에.남들 보다 못한 가족들 사이에서 유일하게 의지했던 건 누나 뿐!가문 따위야 멸문을 하든 말든 미련이 없었지만,누나의 죽음이 헛된 희생인 걸 알게 된 후,오로지 복수만을 위한 검귀가 되었다.마침내 서대륙을 지배하는돌칸 제국을 무너뜨리고, 시산혈해 위의 괴물이 되었을 땐,다가온 죽음을 겸허히 받아 들였다.그런데!14살, 과거로 돌아왔다!그래, 이건 후회뿐이던 과거를 바로 잡을 기회다.이번 생엔 두 번 다시 내 사람들을 잃지 않겠다!후작가의 역대급 막내아들의 통쾌한 회귀 스토리가 시작된다!!***************************************넉울히작가님의 인기 웹소설 <후작가의 역대급 막내아들>을 웹툰으로 만나보세요!***************************************",카카오웹툰
16,16,내 침대 밑에 괴물 남주가 산다,"수달,지헤,여로은",로판,"19금 피폐 로판 소설 속으로 빙의하는 것?그래, 거기까진 좋았다.하필이면 내가 빙의한 캐릭터가빌런의 딸인 데다, 곧 죽을 거란 것만 빼면!이 운명 아닌 운명을어떻게 빠져 나가야 할지 고민하던 중,사이코패스(?) 전쟁광(?) 오빠에게선물 하나를 받는데…….물, 컹?이거…… 슬라임이잖아?토실토실 물컹물컹 보드랍기만 하던 슬라임이말을 하기 시작했다?“뮤뮤!(칭구!)”새로운 마물 친구의 등장으로나, 이리나 소르디에의 운명은급격히 다른 방향으로 흐르고 마는데?************************************************[표지 및 로고 디자인] 송가희**************************웹툰 [내 침대 밑에 괴물 남주가 산다]는 매주 월요일, 주1회 연재됩니다.",카카오웹툰
17,17,무련전봉,"막묵,벽가벽",무협,"제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 ‘능소각’. 3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 ‘양준’은 어느 날 의문의 서책 한 권을 발견한다. 그 서책에는 무도(武道)를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데…… 과연 ‘양준’은 그 서책을 통해 무도(武道)를 익히고, 험난하고 외로운 싸움에서 무도(武道)의 최고봉까지 올라설 수 있을 것인가?",카카오웹툰
18,18,무협지 최고 악당의 귀한 딸입니다,"다우,쌀국수,솔땀",로판,"부잣집 딸로 환생한 줄 알았건만, 무협지 최고 악당의 딸로 태어났다?!무관심한 아빠, 결국 날 죽이는 오빠,살아남기 위해선 어서 무공을 익혀 튀어야 하는데...!이 두 빠빠... 왜 자꾸 날 귀여워하는겨?!",카카오웹툰
19,19,화산권마,"진선규,우각",무협,"자신의 마을이 습격받고 유일하게 살아남은 담호, 하지만 담호는 절름발이다. 무인으로서 최악의 조건이지만 담호는 수련을 멈추지 않는다. 주변 사람들로부터 무인이 될 수 없다고 듣지만 끝까지 포기하지 않는 담호, 과연 그는 최고의 무인이 될 수 있을 것인가?",카카오웹툰
20,20,FFF급 관심용사,"깡무,파르나르",판타지,"주인공 강한수는 판타지아 세계로 소환된 뒤 10년의 고생 끝에 마왕을 쓰러뜨린다.이제 원래 세계로 돌아가는 건가, 행복해 하는 찰나. 판타지 세계의 신으로부터 성적표가 날아온다.마왕 살해에 방해되는 요소를 모조리 치워가면서 왔더니 인성 점수가 F로 나와버렸다!이어지는 회귀, 판타지 세계의 모험을 처음부터 다시 시작해야 한다.과연 강한수는 무한한 회귀를 끝낼 수 있을까.",카카오웹툰
