,id,title,author,genre,story
0,0,진짜 진짜 이혼해,글 / 서후 / 그림 / 해인 / 67화 완결 / ,#로맨스 #2021 지상최대공모전 #계약연애 #친구>연인 #오피스로맨스 #선결혼후연애,"‘강폭풍킥’ 밈의 주인공이 된 후 고개를 들고 다니기 힘들어진 백희.  한국을 뜨기 위해 호주 영주권자인 한결과 이혼을 전제로 위장 결혼을 한다.  하지만 이 결혼을 인정받으려면 둘 사이의 ‘진정한 사랑’을 증명해야 한다는데...?!  진정한 사랑은 무슨, 사기 그 자체인 이 관계를 들키지 않기 위해 안간힘을 쓰지만 쉽지 않다!"
1,1,성역의 기묘한 이야기,글/그림 / 조석 / 6화 완결 / ,#판타지 #완결무료 #완결판타지,"""본 컨텐츠는 조석 작가가 들려주는 디아블로IV 브랜드웹툰<성역의 기묘한 이야기>입니다."" 주연보다 조연이었던 디아블로 IV의 ‘하급 악마’와 ‘성역의 인간’들의 잔혹한 이야기"
2,2,한입만!,글/그림 / 이한솔 / 82화 완결 / ,#로맨스 #인플루언서 #인외존재 #연예계 #완결무료 #완결로맨스,"복학생 도상구. 어릴 적 사고로 건강염려증에 상처 트라우마 까지 있는 그의 앞에 등장한 탑 아이돌 <슈가레드>의 센터 고영희.  그녀는 난생처음 느낀 맛있는 향에, 가난한 복학생 상구를 쫓아다니게 되는데..?"
3,3,네버엔딩달링,글/그림 / 울리 / 89화 완결 / ,#스릴러 #sf #완결무료 #완결스릴러,"""남자친구의 집에서 죽어있는 나를 발견했다."" 복제산업으로 생명 연장이 가능한 시대. 취준생 윤하임은 이 기술을 만든 남자친구 지근후와 연애 중이다. 어느 날, 하임은 우연히 그의 집에서 자신의 시체를 발견하고, 자신이 복제되고 있다는 것을 알아버렸다. 끊임없이 죽고, 복제 당하는 반복으로부터 벗어날 수 있을까?"
4,4,직구일기,글/그림 / 자까 / 8화 완결 / ,#일상 #완결무료 #완결일상,"본 컨텐츠는 자까 작가가 들려주는 SK 엔무브의 SK ZIC 브랜드웹툰<엔진오일""직구일기"">입니다. 합리적인 비용으로 고품질 엔진오일을 찾고있다면! SKZIC 엔진오일 직구하세요!"
5,5,나타나주세요!,글/그림 / 김기현 / 123화 완결 / ,#로맨스 #다정남 #캠퍼스로맨스 #연상연하 #완결무료 #완결로맨스,"평소보다 특별했던 어느 날, 평범한 대학생 김지용의 꿈속에 정지혜가 나타나기 시작했다. 정지혜에게 첫눈에 반한 김지용은 그녀를 찾아다니기 위해 노력하지만 알고 보니 그녀는.. 2년 전에 자살한 사람이었다?! 그녀를 살리기 위해 고군분투하는 김지용의 달콤살벌 로맨스. 나타나주세요, 내 눈앞에!"
6,6,"또다시, 계약 부부",글/그림 / 김종진 / 원작 / 설우희 / 102화 완결 / ,#로맨스 #전남친 #선결혼후연애 #소설원작 #완결무료 #완결로맨스,"서로에게 강한 이끌림을 느꼈던 건하와 서연,  하지만 전혀 다른 삶을 살아왔던 두 남녀는 짧은 결혼 생활을 마치고 결국 이혼을 선택한다.  5년 뒤, 건하는 서연에게 또 한 번 '계약 부부'를 제안한다.  ""나와 다시 부부가 되어줘야겠어. 이번엔 꽤 사이좋은 부부로 말이야."""
7,7,돌&아이,글 / 송채윤 / 그림 / 엔리 / 89화 완결 / ,#드라마 #레드스트링 #연예계 #완결무료 #완결드라마,"글로벌 아이돌 오디션에서 발탁된 걸그룹 '릴리'는 데뷔 직전 투표조작으로 나락에 떨어지고,  이를 기획한 대한민국 최고의 엔터테인먼트 대표 차유주는 남편의 배신으로 누명을 쓰며 징역을 살게 된다. 수감 중 만난 조폭 출신의 비주얼센터감 은하린. 차유주는 그녀를 꼬셔 다시금 릴리를 데뷔시키는데..."
8,8,덴큐,글/그림 / 백감독 / 103화 완결 / ,#판타지 #sf #완결무료 #완결판타지,특수능력을 지닌 악당 덴마가 꼬마의 몸에 갇혀 겪는 모험...의 끝나지 않은 이야기.
9,9,살아남은 로맨스,글/그림 / 이연 / 103화 완결 / ,#판타지 #서바이벌 #아포칼립스 #학원로맨스 #빙의 #구원서사 #완결무료,"로맨스 소설에 빙의해 행복한 삶을 살던 채린. 그녀의 눈에 남자주인공인 '제하' 외에는 모두 검은색 그림자로밖에 보이지 않는다. 그리고 갑자기 바뀐 소설의 장르.  살아남으려면 엑스트라들과 손을 잡아야 한다!! <화장 지워주는 남자> 이연 작가의 차기작, 세상에 이런 장르는 없었다!"
