,id,title,author,genre,story
0,0,별을 부탁해,글/그림 / 이동건 / 8화 완결 / ,#일상 #완결무료 #완결일상,"잘때도, 놀때도 아빠만 찾는 천방지축 딸 별이와  서툰 딸바보 아빠의 예측불허 일상 에피소드!  본 컨텐츠는 이동건 작가와 함께하는 LIG 손해보험 브랜드 웹툰입니다."
1,1,빵점동맹,글 / 마사토끼 / 그림 / joana / 76화 완결 / ,#드라마 #완결드라마,수능이라는 한 판 승부. 그 끝에서 우리를 기다리는것은 무엇일까? 그 답을 알기위한 우리들의 동맹.
2,2,국립자유경제 고등학교 세실고,글 / 양혜석 / 그림 / 타파리 / 51화 완결 / ,#드라마 #학원물 #성장드라마 #완결드라마,입학과 동시에 모든 학생에게 천만원의 ‘입학금’이 지급되는 파격적인 조건.  그러나 잔고가 미달이면 퇴학을?! ‘먹고 살기 위한’ 고등학생들의 악전고투기!!
3,3,악플게임,글/그림 / 미티 / 45화 완결 / ,#드라마 #완결드라마,"우승상금 10억!  대한민국 최고의 악플러를 뽑는 대회가 펼쳐진다.  <남기한 엘리트만들기>, <고삼이 집나갔다> 미티 작가 신작!"
4,4,한줌물망초,글/그림 / 혜진양 / 96화 완결 / ,#판타지 #완결판타지,"당신은, 전생을 믿으시나요? 당신은, 나를 기억하고 있나요? 전생을 믿지 않는 한 여자의 이야기, <한줌물망초>"
5,5,그날의 생존자들,글/그림 / 김선권 / 38화 완결 / ,#스릴러 #완결스릴러,"하룻밤 사이 전세계 대부분의 사람들이 목숨을 잃었다?!  혼란에 빠진 생존자들에게 서서히 다가오는 또다른 공포.  <수사9단>, <후유증> 김선권 작가의 신작 재난 미스테리물"
6,6,소나기야,글/그림 / 와루 / 26화 완결 / ,#드라마 #완결무료 #완결드라마,시골마을 사람들과 함께 보내는  와루의 여름 이야기..
7,7,2013 루키 단편선,글/그림 / 네이버웹툰 작가 / 7화 완결 / ,#드라마 #완결무료 #완결드라마,"전설적인 작가 이현세, 이두호가 직접 프로듀싱한 7명의 신인 작가 단편선 세번째 시즌!"
8,8,라이징패스트볼,글/그림 / 박현수 / 무료 8화 / ,#스포츠 #야구 #스포츠성장 #완결스포츠,고교야구! 야구소년! 불꽃같은 그들의 이야기!
9,9,키드갱 시즌2,글/그림 / 신영우 / 무료 2화 / ,#개그 #완결개그,키드갱 22권 그 이후!  정통 개그만화가 부활한다!
10,10,터치! 메리크리스마스,글/그림 / 네이버웹툰 작가 / 10화 완결 / ,#일상 #완결무료 #완결일상,요즘은 뭘 하며 지내고 있을까?   근황이 궁금했던 작가들이 돌아왔다! 개성 만점 크리스마스 단편선을 스마트툰으로 만나보세요
11,11,풋볼 데이브레이커,글/그림 / 조석 / 8화 완결 / ,#스포츠 #완결무료 #완결스포츠,본 컨텐츠는 마음의소리의 조석 작가가 전하는 풋볼 데이브레이커 웹툰으로  NHN 엔터테인먼트의 '풋볼데이' 브랜드 웹툰입니다.
12,12,오렌지 마말레이드,글/그림 / 석우 / 125화 완결 / ,#로맨스 #드라마&영화 원작웹툰 #완결로맨스,뱀파이어 정체를 숨긴 전학생 백마리와 인기 남학생 정재민. 석우 작가가 그리는 그들의 감성적인 판타지 로맨스.
13,13,모자뜨기클럽,글/그림 / 김진 / 8화 완결 / ,#일상 #완결무료 #완결일상,"이종석과 함께하는 본격 뜨개툰! 신생아 살리기로 똘똘 뭉친, 올 겨울 가장~ 뜨는 클럽이 당신을 기다린다! 본 웹툰은 세이브더칠드런 신생아살리기 모자뜨기 시즌7 브랜드 웹툰 입니다."
14,14,기사도,글/그림 / 환쟁이 / 87화 완결 / ,#액션 #완결액션,"물러설 곳 없는 두 남자의 싸움이 시작된다! 쫓고 쫓기는 그들의 스릴 넘치는 이야기, '기사도'"
15,15,ENT.,글 / 박미숙 / 그림 / 강은영 / ,#로맨스 #완결무료 #완결로맨스,연예계를 흔드는 팬픽작가 여우별이 파헤치는 엔터테인먼트 세계의 비밀!
16,16,내일은 웹툰,글/그림 / 신의철 / 무료 11화 / ,#개그 #완결개그,"내일 나오는 만화를 그리며, 언제나 내일을 사는  웹툰 작가들의 만화같은 이야기."
17,17,고고루키루,글/그림 / 한경찰 / 227화 완결 / ,#드라마 #완결무료 #완결드라마,"정체불명의 3인조, 천진난만 켄, 카리스마 선녀, 쉬크노노  루키루가 만들어내는 황당무계하지만 따뜻한 이야기들. 지금부터 루키루와 함께 고고"
18,18,출동! 히어로 전사,글/그림 / 하일권 / 10화 완결 / ,#판타지 #완결무료 #완결판타지,우주로부터 정체불명의 벌레가 침입했다! 이에 맞서 히어로 팩토리를 지키는 전사들의 이야기! 본 컨텐츠는 하일권 작가가 전하는 레고 히어로팩토리 브레인어택 브랜드 웹툰 입니다.
19,19,아랫집 시누이,글/그림 / 김진 / 57화 완결 / ,#일상 #완결일상,"대를 물려 내려오는 고부갈등? 노노! 시월드, 이제는 무섭지 않아요!"
20,20,미숙한 친구는 G구인,글/그림 / 최삡뺩 / 93화 완결 / ,#개그 #완결개그,또띠또띠 뀌꼬르떼 레마르장의 완전 신나는 4차원 지구생활기!
21,21,"OH, MY GOD!",글 / 강지영 / 그림 / 현예지 / 27화 완결 / ,#판타지 #최강자전 #완결무료 #완결판타지,"신들의 회사 헤븐즈 컴퍼니, 성격도 외모도 제 각각인 'GOD'들.  그들의 갈등과 신의, 그리고 음모.  2012 대학만화 최강자전 수상작!"
22,22,맛집남녀,글/그림 / 츄플엣지 / 49화 완결 / ,#개그 #완결무료 #완결개그,po블로거wer! 맛집 남녀의 스마트한 요절복통 로맨스
23,23,네로의 실험실,글 / 외눈박이 / 그림 / 시현 / 63화 완결 / ,#판타지 #완결판타지,검은 마법사 네로와 태엽장치 아가씨 비올렛타. 그들을 둘러싸고 펼쳐지는 기묘하고 환상적인 이야기들.
24,24,월남특급,글/그림 / 혜원 / 94화 완결 / ,#드라마 #완결무료 #완결드라마,유쾌상쾌통쾌! 지긋지긋한 현실을 벗어나 베트남으로! 돈가방을 들고 튄 두 여자와 악의 무리들의 로얄 어드벤처 베트남 여행기.
