,id,title,author,genre,story
0,0,참교육,글 / 채용택 / 그림 / 한가람 / 월요웹툰 / ,#액션 #블루스트링 #사이다 #학원물 #먼치킨 #다크히어로,무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다! <부활남> 채용택 작가 X <신석기녀> 한가람 작가의 신작!
1,1,뷰티풀 군바리,글 / 설이 / 그림 / 윤성원 / 월요웹툰 / ,#드라마 #직업드라마 #밀리터리,'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!
2,2,신의 탑,글/그림 / SIU / 월요웹툰 / ,#판타지 #세계관 #이능력배틀물 #소년왕도물 #먼치킨,자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년 그리고 그런 소년을 시험하는 탑
3,3,똑 닮은 딸,글/그림 / 이담 / 월요웹툰 / ,#스릴러 #2020 지상최대공모전 #서스펜스,"'우리 엄마가 살인마인 것 같다.'  성적 우수, 품행 단정, 모범적인 자식인 길소명은 엄마가 요구하는 기준에 맞춰 완벽한 딸로 살아왔다. 그러나 남동생이 강물에서 시체로 떠오른 그 날, 소명의 머릿속엔 섬뜩한 의혹이 피어오른다. 자식의 인생에 방해되는 모든 것을 없애려는 엄마와 그녀에게서 벗어나려는 딸, 두 사람의 잔혹한 모녀 스릴러! 2020 지상최대공모전 2기 우수상 수상작."
4,4,백수세끼,글/그림 / 치즈 / 월요웹툰 / ,#드라마 #음식&요리 #감성드라마,백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니? 음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!
5,5,퀘스트지상주의,글/그림 / 박태준 만화회사 / 월요웹툰 / ,#드라마 #게임판타지 #학원물,"[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품! 공부, 싸움, 외모. 뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다! 첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데! 퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가? [system] 학교 일진녀와 키스하십시오"
6,6,장씨세가 호위무사,글/그림 / 김인호 / 원작 / 조형근 / 월요웹툰 / ,#무협/사극 #사이다 #힘숨찐 #판무 #먼치킨 #소설원작,‘당신이 부른 것이오. 나란 사람을... ’ 은둔고수 광휘. 호위무사 되다. 웹소설 원작 웰메이드 무협 시대극!
7,7,윈드브레이커,글/그림 / 조용석 / 월요웹툰 / ,#스포츠 #스포츠성장,혼자서 자전거를 즐겨타던 모범생 조자현. 원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데... 자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!
8,8,소녀의 세계,글/그림 / 모랑지 / 월요웹툰 / ,#드라마 #학원로맨스 #하이틴 #직진남 #삼각관계 #까칠남 #감성드라마,완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나 여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물
9,9,신화급 귀속 아이템을 손에 넣었다,글/원작 / 정선율 / 그림 / 헤스 / 월요웹툰 / ,#판타지 #아포칼립스 #사이다 #게임판타지 #회귀 #헌터물 #소년왕도물 #먼치킨,"D급 무투계 레이더로 마법계 레이더들의 고기방패나 하며 별 볼 일 없이 살던 재현.  그러던 어느 날, 던전에서 우연히 ""오딘의 눈"" 이라는 최강의 귀속 아이템을 얻게 됐다. 신의 눈을 가진 자, 세계를 구할 신의 대적자의 운명을 개척하라!"
