,id,title,author,genre,story
0,0,웬디의 꽃집에 오지 마세요,sizh,로맨스,이 시대의 진정한 로맨스 혐오자이자 철벽 웬디 왈츠!
1,1,나만 보면 살랑살랑 [연재],yuedong culture,로맨스,"발을 헛디뎌 넘어졌을 뿐인데 순식간에 수인 세계로 넘어오게 된 여주인공, 하은."
2,2,"음란한 열기, 남편의 입맞춤으로 흐트러지는 첫날밤",노기 세이야,로맨스,"부모를 여의고, 먼 친척 집에 맡겨지게 된 후미. 고모와 새언니에게 하인 취급을 받던 어느 날, 갑작스레 모르는 집으로 시집을 가게 된다. 불안을 안은 채, 남편과 마주치자마자… 왠지 몸이 뜨겁다. 더욱이 따지듯이 ‘네 몸을 보이도록 해'라고 명령받는다…. 겁먹으면서도 옷자락을 걷으니, 아랫배에 무늬가?! 음문에 의한 욕정을 억제하는 방법은 ‘체액 교환’뿐. 남편은, 열기에 들뜨는 후미를 억지로 끌어당기는데…."
3,3,사랑할 수 없는 그녀,Chunfeng Studio,로맨스,"“더 이상 사랑 따윈 믿지 않아.” 2년 전 약혼자의 배신으로 결혼식에서 도망친 하수현은 자신은 더 이상 누군가를 사랑할 수 없는 사람이라 여기며 일만 보고 살아 왔다. 하지만 어린 시절부터 자신을 졸래졸래 따라다니던 이웃집 남동생 임호와 재회한 뒤, 꽁꽁 얼어붙어 있는 그녀의 마음도 녹아 내리기 시작하는데……."
4,4,내가 널 사랑할 때,김용선,로맨스,"[원작-류향] 32살의 능력있는 선일 대학병원의 응급의학 전문의인 이영은 동료의 성화에 못이겨 난생처음 소개팅에 나가게 된다. 내키지는 않지만 소개팅남을 차분히 기다리는 도중, 뜻밖에 초등학교 동창이자 현재 이영의 대학병원의 그룹사인 선일그룹 이사장이기도 한 무열을 마주하게 되고...? 무열은 이영과 초등학교 시절 남다른 인연이 있어 이영도 마음 한구석에는 그를 간직하고 있었다. 하지만 무열은 13년 전에 했던 약속을 지키라며 다짜고짜 청혼을 해오는데?! 이영과 무열의 운명은 과연...?"
5,5,레이디 투 퀸,김소현,로맨스,"""나라면 황제를 사랑하지 않을 자신이 있어"""
6,6,우리 동네 치바 군은.,오카모토 토카사,로맨스,나의 학생은 첫사랑?! 금단의 나이 차 러브!
7,7,아기가 생겼어요,강기,로맨스,윤리적 교육적으로 완벽한 선생님을 꿈꾸던 장희원은 하룻 밤의 일탈로 임신을 하게 된다. 설상가상으로 아기아빠는 제자의 삼촌이자 학교 이사장인 강두준인데. 덜컥 결혼부터 하자는 이사님께 제대로 낚인 장희원의 아슬아슬한 로맨스 드라마
8,8,봄날을 지내다,아사 히오리,로맨스,[12~13화에는 작가님의 단편BL <나의 귀여운 이웃>이 수록되어 있습니다. 감상에 참고 바랍니다.]
9,9,그저 여명일 뿐 [연재],강기,로맨스,"[4회 연재 후 1회 정기휴재] 그녀는, 꼭 태풍 같았다. 가만히 숨죽이고 있던 그의 계절을 함부로 뒤흔들어 버린."
10,10,둘이서 사랑을 하는 이유,히로 치히로,로맨스,"안도 우라라는 전철 안에서 자신을 도와준 남자가 같은 학교 학생, 오카니와 아이지라는 걸 알고 운명적인 사랑이 아닐까 생각한다. 친해져 보려 애쓰지만 어째서인지 같은 반인 미소노 준이 방해를 하는데…? ""너한테 아이지는 못 넘겨."" 이건 대체 무슨 의미?! FUTARI DE KOI WO SURU RIYUU © 2018 by Chihiro Hiro/SHUEISHA Inc."
11,11,대공님에게 빠져버렸습니다 [연재],PIMO,로맨스,"""내 삶이 이런 결말이었다면 시작도 안 했어"""
12,12,너에게만 음성인식,Ada,로맨스,안드로이드 차차에게 의존하여 살아가고 있는 시각장애인 윤서아 앞에 나타난 차차와 같은 목소리를 가지고 있는 남자.
13,13,"헬로, 이노센트",사카이 마유,로맨스,"하야세 유키토는 문무를 겸비한 고등학교 신입생. 집안 사정으로 좋아하는 검도를 그만두게 되어 우울해하던 날 밤, 한 소녀와 만났습니다. 이름도 연락처도 묻지 못하고 헤어지게 된 그 다음 날. 교실에 그녀의 모습이! 그녀는 입학한 이후로 쭉 등교 거부 중이었던 동급생 호우쇼 유이였습니다. HELLO, INNOCENT ⓒ 2020 by Mayu Sakai/SHUEISHA Inc."
14,14,이치죠 카렌은 유혹을 한다,후지타니 요코,로맨스,"「18살, 둘만의 처음」 무뚝뚝하고 무섭게 생긴 소꿉친구 미츠를 좋아하는 카렌. 미래의 남편(카렌의 희망 사항)을 위해서 매일 섹시한 유혹은 필수! 하지만, 역시 단둘이 있으면 조금 긴장돼…? 모두의 앞에서는 기가 센 여왕님, 좋아하는 사람 앞에서는 수줍은 소녀?! 두근두근 청춘 러브 코미디♪"
15,15,계약직 아내 [연재],라미아,로맨스,계약으로 묶여버린 엇갈린 사랑!
16,16,악당에게 사랑을 강요받고 있습니다,신말랑,로맨스,평화롭지만 지루한 시골. 세니야 선셋힐의 삶의 목표는 이곳을 나가 새로운 인생을 살아보는 것!
17,17,남주는 정중히 사양하겠습니다!,샐러맨,로맨스,"비참하게 처형당하는 소설의 악역으로 빙의했다. 사망플래그를 피하기 위해 별짓 다 해봤지만, 돌아오는 건 결국 죽음뿐. 세 번째 회귀하던 날, 나는 결심했다. 막 살기로!"
18,18,우리 아빠가 대표님 이래요 [연재],에코스튜디오,로맨스,"""아빠라고… 불러도 돼요?"""
19,19,사신 도련님과 검은 메이드,이노우에 코하루,로맨스,"어렸을 때 <손을 대는 모든 것을 죽게 만든다>는 저주에 걸려, 주위에 거절당하면서 살아온 귀족 도련님. 그런 도련님이 지금 가장 곤란한 것은…그를 모시는 메이드 ""앨리스""의 역성희롱! © Koharu INOUE/SHOGAKUKAN"
20,20,공작님의 곰인형,곰돌,로맨스,"[휴재 중] 백작가의 사생아 마샬. 명문가의 이름에 먹칠하지 않도록, 언제나 숨죽이고 살아가는 그녀에겐 말 못 할 비밀이 있다. 바로 잠만 자면 영혼이 몸을 빠져나온다는 것! 어린 시절 겪은 사고 이후 생긴 이 기묘한 현상을 마샬은 긍정적으로 즐기며, 나아가 빙의 능력까지 손에 넣게 된다. 그러던 어느 날 그녀는 떠밀리듯 참석한 황궁 휴전 기념 파티에서 '제국의 빙벽'이라고 불리는 군부 총사령관 루드빌리안 공작과 불쾌한 상황으로 엮이고 마는데... ©최성하,곰돌/동아,지티이엔티"
21,21,"삼시 세끼 낮잠이 보장된 생활을 약속해 주세요, 공작님. [연재]",TUGIKURU COMICS,로맨스,[계약 결혼의 조건은 삼시 세끼와 낮잠 보장?!]
22,22,미로 속을 걷다 [연재],두타타,로맨스,"어느새 비가 그치고, 어둡던 미로 속은 산책길이 되었다."
23,23,불건전 친구 [연재],송보배,로맨스,“원나잇 한 남자랑 친구 하는 미친X도 있니?”
24,24,낮에 뜨는 별,고다고,로맨스,"대한민국 최고의 톱스타 강승현, 7년째 중고 신인 황유라의 드라마틱 로맨스!"
25,25,폭군의 아이를 가졌습니다,SF_JD,로맨스,"1년에 한 번 열리는 가장 축제의 밤. 일란은 눈을 뜨자 잔혹하기로 소문난 황제, ‘카일라트’가 곁에서 자고 있는 걸 발견하고 급하게 도망친다. 하지만…  “임신입니다.”  하룻밤의 실수로 폭군의 아이를 가져 버렸다.  황제는 자신에게 다가오는 여인들을 혐오한다는 이야기를 들은 일란은 이 사실을 숨기기로 결심한다. 그녀의 결심이 무색하게 자꾸만 다가오는 카일라트.  과연 일란은 카일라트에게서 무사히 벗어날 수 있을까?"
26,26,"대표님, 사모님이 도망가요",Anyouran,로맨스,"결혼식 전날, 약혼자의 불륜을 목격한 것도 모자라 사랑하는 가족까지 잃게 된 노신아. 세상이 무너지는 것 같던 그때 그녀 앞에 나타난 권욱진! ""네가 잃은 모든 걸 되찾아 줄 수 있어. 단, 한 가지 요구만 들어준다면..."" 모든 걸 잃어버린 그녀에게 나타난 이 남자. 과연 행운일까? 불행일까?"
27,27,결혼부터 시작할까요,hongshu,로맨스,갑작스러운 사건에 휘말려 정신병원에 강제로 갇혀버린 안지수. 그게 새어머니의 계략인 걸 알았을 땐 너무 늦어버렸다.
28,28,뒤죽박죽인 그들의 사랑의 행방,코우모리,로맨스,"음침한 오타쿠 X 반짝반짝 OL의 사랑, Pixiv 월례 수상작 & Twitter 좋아요 16만 돌파! SNS 인기 작가인 코우모리의 데뷔작!!!"
29,29,대표님의 삐뚤어진 사랑 [연재],Hongshu,로맨스,"""도망쳐 봐야 내 손바닥 안이지."""
30,30,하늘색 레몬과 길 잃은 고양이,사토나카 미카,로맨스,"히로시마에 위치한 항구도시 오노미치에서 첫사랑과의 재회를 기다리며 고등학교 생활을 하는 나기사. 어느 날, '감독을 때려 연예계에서 퇴출됐다'는 소문의 배우, 야마토가 고양이처럼 훌쩍 동네에 나타난다. 집도 가까운데다 반도 같은 반. 왠지 신경 쓰이는 그와 자꾸 얽히게 되는데….오노미치 청춘 러브 스토리, 개막! SORAIRO LEMON TO MAYOI NEKO © 2017 by Mika Satonaka/SHUEISHA Inc."
