,id,title,author,genre,story
0,0,하필이면 까마귀가 되어버렸다,"글리,실베스타",로판,"사고로 죽은 뒤 여성향 게임에 환생, 아니 빙의해 버렸다.…그것도 까마귀로!내가 까마귀라니! 지나가는 엑스트라1도 아니고 까마귀라니!주변에 키워 줄 사람을 찾으려 했는데… 나타난 사람이 황태자?""레이넬, 넌 정말 어쩜 이리도 사랑스럽니.""""까아아아악, 까악!(그럼 날 데려다 키워 줘!)""나에게 이름도 지어 주고 사랑도 주는 황태자, 카무트.어차피 나는 까마귀니까 저놈이 좋아한다 해도,내가 그의 행동에 설레도 전혀 문제없겠지.문제가 없을 뻔했는데…….""안녕, 레이넬?""나한테 갑자기 무슨 일이 일어난 거지?"
1,1,자격 미달 황후라 죄송합니다,"스푼코믹스,채정연",로판,"로제 에투와르는 불행한 결혼 생활 끝에, 남편인 황제의 손에 비참하게 죽었다.그런데 어쩐 일인지 그녀는 청혼받기 전 날로 회귀하는데.이대로 넋 놓고 있다가 또 그 새끼랑 결혼하게 생겼다.“제가 뮤리엘 후작 영애 대신 헬라반트로 가겠어요!”미친놈을 피해 달아난 북부 야만의 땅.그곳에는 미친놈 대신 짐승 같은 놈이 기다리고 있었다.막심 랑케르트.북부 야만인들의 땅 헬라반트의 왕이자 카시악스를 불안으로 미쳐버리게 만들 수 있는 유일한 남자.“너 같은 여자는 처음 보는군.”“나도 당신 같은 남자 처음 봐요.”로제는 결심했다.이 짐승을 잘 길들여 황제를 바꿔버리겠다고."
2,2,악당들에게 키워지는 중입니다,"율리(Terapin),이아송,자은향",로판,"즐겨보던 로판 소설의 엑스트라 소녀로 빙의한 지 1년 만에 내가 곧 쫓겨날 신세라는 걸 알게 됐다. 차라리 내 발로 집을 나가겠다고 했더니, “사실은 이 아이가 내 따님입니다. 그렇지, 따님?” 사이코패스 망나니 공자의 눈에 들어 버렸다? ‘놀이 후에 상대한테 준 돈이 섬 하나를 살 정도였다던데?’ 그에게 어울려 주면 일확천금을 얻을 수 있다기에 훌륭히 딸 노릇을 하고, 몇 달 뒤 두둑해진 통장과 함께 자의 반 타의 반 집을 나왔다. “내가 떠나라고 할 때까지 계속 내 곁에 있거라.” 그런데, 나를 놀잇감으로 여기던 아빠가 날 찾아와 붙잡는다."
3,3,"남편은 됐고, 돈이나 벌렵니다","몰코,주해온",로판,"여친 있는 남자의 아내가 되어 버렸다.음, 건드리지 말아야겠지?“그럼 넌 바닥에서 자.”“뭐?”싫은 눈치다.그래, 바닥은 딱딱하지.그렇다면 어쩔 수 없다.“손만 잡고 잘게. 누나 믿지?”그런데 어쩌다 남편과 첫날밤에 침대를 부숴 버린 걸까…….*황제의 눈밖에 나 유폐당한 황녀, 아리스티네.사실 그녀는 미래와 현재, 과거를 모두 볼 수  있는 <제왕안>의 소유자였다.정략혼의 희생양이 된 그녀는 괴물 같은 야만인과 맺어지는데…….“가장 귀한 것을 내 신부님께 드려야지.”괴물이라던 예비 남편님이 지나치게 멀쩡하다.하지만 이 떡은 남의 떡.‘돈이나 벌어야지.’자고로 황금 보기를 내 것같이 하라고 했다.<남편은 됐고, 돈이나 벌겠습니다.>과연 그녀는 돈방석에 앉아 자유롭게 사는 꿈을 이룰 수 있을까?아니면 두 마리의 토끼를 동시에 잡게 될까?"
4,4,세이렌: 악당과 계약 가족이 되었다,"생얌,포야,설이수",로판,"아리아는 계약 결혼을 제안했다.그것도, 악마에게 영혼을 팔았다는 발렌타인의 대공자에게.자신을 지키고, 그를 지키기 위해서.[나와 결혼해.]아리아는 단풍잎 같은 손으로, 쪽지와 함께 혼인 서약서를 내밀었다.[계약 결혼이니까 10년 뒤에 이혼…….]그러자 어린 대공자는 쓰고 있던 쪽지를 빼앗아 쫙쫙 찢으며 말했다.“그래서, 도장은 어디에 찍으면 되지?”“크면 이혼해주겠다고 했잖아.”어느새 훌쩍 자란 악마 대공이, 그녀의 머리카락 위에 경건하게 입을 맞추며 말했다.“어른이 되었으니 어른의 계약을 해야지.”"
5,5,무련전봉,"막묵,벽가벽",무협,"제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 ‘능소각’. 3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 ‘양준’은 어느 날 의문의 서책 한 권을 발견한다. 그 서책에는 무도(武道)를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데…… 과연 ‘양준’은 그 서책을 통해 무도(武道)를 익히고, 험난하고 외로운 싸움에서 무도(武道)의 최고봉까지 올라설 수 있을 것인가?"
6,6,이번 생은 가주가 되겠습니다,"앤트스튜디오,몬,김로아",로판,"“…한번 해 보자. 내가 가주가 되는 거야.”제국에서 제일가는 가문, 롬바르디의 사생아로 환생한 피렌티아.게다가 이 가문은 막대한 부는 물론 외교와 문화까지 통달한말그대로 제국의 역사 자체!금수저 오브 금수저 인생 당첨!앞으로는 탄탄대로일 거라 생각했는데….아버지는 돌아가시고, 친척들은 문전박대,거기다 그 잘나가던 가문까지 쫄딱 망해 버릴 줄이야!!분통을 터트리며 술을 조금(?) 많이 마시며 돌아가는 길,마차에 치여버리기까지!“이건 해도 해도 너무하잖아….”하지만 원망도 잠시, 눈을 뜨니 일곱 살로 돌아왔다?!사랑하는 아버지를 다시 보는 것도 믿기지 않는데,내가 아버지와 가문을 살릴 수도 있다고?거기다 회귀 전 가문의 원수,2황자가 대형견마냥 졸졸 쫓아다니기까지?!좋아, 이렇게 된 거 2황자도 가문도 다 내 거다!환생에 회귀까지, 인생 3회차 피렌티아의 가주되기 프로젝트!**************************[표지 및 타이틀 로고 디자인] 조정원**************************웹툰 [이번 생은 가주가 되겠습니다]는 매주 월요일, 주1회 연재됩니다."
7,7,묵향 다크레이디,"이재헌,구깃,전동조",판타지,"마교의 교주로서 극강의 무공을 자랑하던 묵향은 적들(혈교)에 의해 생전 처음 보는 생소한 이세계(판타지 세계)로 떨어지게 된다. 그곳에서 엘프, 마법사, 기사, 드래곤 등 새로운 존재들과 만나며... 무림 최고수 묵향이 원래 자신의 세상(무림)으로 돌아가기 위해 긴 모험을 떠나게 된다는 스토리.한국의 무협소설과 판타지 문학을 사랑하는 수많은 독자들이 기다려왔던 초대형 이벤트― 웹툰계를 뒤흔들 다시없을 프로젝트가 시작된다! 1999년부터 시작된 전설, 누계부수 300만부... 무협소설과 판타지문학을 접목시킨 기념비적인 장르소설인 [묵향]이 드디어 만화화!! 한국 무협판타지의 한 획을 그었던 전동조 작가의 메가히트 장르소설 [묵향]을 만화화! 만화의 내용은 원작의 2부격인 [다크레이디] 편에서부터 시작한다."
8,8,레벨업 못하는 플레이어,"앵무새,스튜디오 크힛,가빈지",판타지,"18세의 나이에 '플레이어'로 각성한 김기규.'탑'을 오르고 '게이트'를 닫으며 인생이 탄탄대로일 줄 알았는데...튜토리얼을 아무리 클리어해도 레벨1.1일 1고블린을 해도 레벨1.5년이 지나도 레벨1.""누가 알았겠냐고, 이런 플레이어가 있는지.""그 누구도 몰랐다.탑을 뒤흔들 레벨1의 역대급 반전 능력을!"
9,9,환골탈태,마고(mago),드라마,"부드러운 살가죽, 짧고 까칠한 털, 작고 조그만 발....이 해괴하고 귀여운 생물체는 대체 무엇?!해골(스켈레톤)은 독립하면서 아기 고양이를 기르기로 한다.드디어 이사 날에 인간계 대행 서비스를 이용해 받은 아기 고양이!그런데 몸에 털도 별로 없고... 아기 고양이가 원래 이렇게 생겼었나?인간계 대행 서비스 센터는 연결이 되지 않고,졸지에 돌연변이 아기 고양이를 떠맡은 해골!설상가상 아기 고양이의 울음소리에 옆집에서 항의가 쏟아지는데....아기 고양이... 키울 수 있을까?!마계에서 벌어지는 해골과 악마 아담, 서큐버스 릴리의 좌충우돌 아기 고양이 육아 대작전이 시작합니다!"
