,id,title,author,genre,story,platform
0,0,무빙,강풀,액션,남들이 모르는 비밀을 간직하고 있는 고등학생. 그리고 그 부모들의 이야기. 소년소녀들의 성장기.,카카오웹툰
1,1,국민사형투표,"엄세윤,정이품",드라마,어느 날 당신에게 도착한 국민사형투표 문자. 당신의 선택은?,카카오웹툰
2,2,브릿지,강풀,액션,강풀 액션만화 두번째 시즌 '브릿지'. 한국형 히어로들의 이야기는 아직 끝나지 않았다!,카카오웹툰
3,3,남편이 미모를 숨김,"가비남,하라라,정연",로판,"대대로 끔찍한 괴물이 태어난다는할스테드 성의 영주, 에르덴.흉측하기로 유명한 영주의 외모는가면으로 가려져 있다.언니들 대신 할스테드 성의 영주에 시집가게 된 레티샤는'괴물과 결혼한 여인'으로 불리며많은 이들의 동정을 사지만―사람들은 모르는 비밀이 있다.""부인께는 항상 감사해하고 있습니다.흉측한 저에게 이렇게나 상냥하시다니…""""그야 전 에르덴의 부인이니까요.""""어서 빨리 이혼해드려 하루 빨리 이 모든 것들로부터벗어나도록 해드려야 하는데…죄송하지만 이혼장을 잃어버린 것 같습니다.""'그렇겠지, 내가 태워버렸으니까.'""그래서 시간이… 더 걸릴 것 같습니다.""'법률가들 사이에 소문 좀 험하게 흘려놔야겠군.'이렇게 잘생긴 남편과 이혼이라니.안 돼, 안 돼, 절대 안 돼!!!『남편이 미모를 숨김』 지금부터 시작합니다!--------------------------------*매주 목요일 22시에 연재됩니다.*",카카오웹툰
4,4,달려라 메일,"캐롯툰,엘리아냥",로판,"""나는 경국지색이잖아.그럼 내 미모 때문에 나라가 망해야겠네?""백치미 공주가 나라를 멸망시키는 꿈을 꾸게 된 공작 영애 메일.구국의 사명감을 가지고,얼굴은 예쁘지만 뇌 주름이 부족한 백치미 공주를 따라제국에서 열리는 황후 간택전에 참여하게 된다. 그러던 어느 날,정원 덕후의 본능에 이끌려 들어간 정원에서가면을 쓴 남자를 만나게 되는데…….""정말 황제가 자주 오는 정원이라는 걸 몰랐나?""""폐하께서 그 정도로 한가하신가요?""그런데…'왜 황제가 정원에서 나와?!가면남(?)이 일러바친 거 아니야?'과연 메일은 황후 간택전을 무사히 치르고나라를 구할 수 있을까?",카카오웹툰
5,5,이미테이션,박경란,로맨스,"""나는 '진짜'를 꿈꿉니다.""약육강식과도 같은 연예계. 그곳에서 탑 솔로 가수 라리마와 닮은 이미지로반짝 인기를 끌었던 마하는 천우신조로 인기 방송 프로그램에 출연하는 기회를 얻게 된다.어떻게든 대중들에게 눈도장을 찍기 위해 최선을 다하지만 결과는 탑 아이돌 그룹 샥스의 멤버를 다치게 만드는 걸로 끝이 나고 마는데…그저 열심히 했던 것뿐인데, 왜 이렇게 돼버린 걸까?'진짜'를 꿈꾸는 별들의 이야기.<이미테이션>많은 관심 부탁드립니다.",카카오웹툰
6,6,도굴왕,"윤쓰(REDICE STUDIO),쓰리비투에스,산지직송",판타지,"현대에 출몰한 신의 무덤.유물로 영웅의 능력을 쓰게 된 사람들, 부를 얻게 된 사람들.그리고 그 유물을 털어가는 의문의 도굴꾼이 나타났다.도굴왕.""아이씨, 미치겠네. 여기도 또 그자식이 다 털어 갔냐!""네 것도 내 것. 내 건 당연히 내 것.다시 살아난 도굴꾼, 그가 세상 모든 무덤을 접수하기 시작한다!",카카오웹툰
7,7,다행인지 불행인지,"은렌,노희다",로판,"어쩌다 보니 여주인공 등장 전, 남주의 아내 역할을 잠시 맡게 됐다. 이왕 그렇게 된 거 최선을 다해 보려 노력했다. 그랬더니…“너 같은 아이가 세드릭의 반려가 되어 다행이구나.”세드릭의 운명적 상대가 나면 그녀는 떠나야만 한다. 어떡하지? 이런 나에게 세드릭이 말했다.“내가 사랑에 빠진 상대가 당신일 거라는 생각은, 단 한 번도 해본 적 없었습니까?”여주인공 아델라인이 등장하고 나서도, 똑같이 내게 그렇게 말해줄 거야?",카카오웹툰
8,8,그녀가 공작저로 가야 했던 사정,"고래,밀차",로판,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하.하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?!그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐!레리아나(=박은하)는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데…….“단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠.”“좋아. 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어.”그러나 노아 이 자식…….천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?!그녀는 죽음의 운명에서 벗어날 수 있을까?냉혈 공작, 노아 윈나이트 X 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지![로고 디자인] 디자인그룹 헌드레드",카카오웹툰
9,9,강철의 연금술사 컬러웹툰,Hiromu Arakawa,액션,"많은 독자 여러분께 사랑을 받았던 <강철의 연금술사>가 '컬러 웹툰'으로 한층 업그레이드 하여 새롭게 연재를 시작합니다!원작에 충실하며, '화려한 이펙트', 말풍선에 가려졌던 '히든 컷'들을 추가하였습니다.재미요소를 추가하여 새롭게 연성된 <강철의 연금술사 - 컬러 웹툰> 지금 만나보세요.연금술로 엄마를 되살리려던 에드워드, 알폰스 형제의 모험이 시작된다!",카카오웹툰
