,id,title,author,genre,story,platform
0,0,천지해,핑푸,판타지,"천계에 올바른 질서를 가져오기 위해 초대 옥황상제가 12지, 십장생, 오방신의 대표를 한 명씩 모아만든 기구 천지해. 이 조직에 황룡의 대표로 참가하게 된 수습 천지해 륜. 그녀가 첫 출근에서 보게된 천지해의 모습이란...? 다양한 종족이 부대끼며 살아가는 천계를 배경으로 벌어지는 특무기관 판타지 드라마.",레진코믹스
1,1,무책임 공주는 힘들어!,무선혜드셋,개그,하늘의 장난으로 여왕이 되어버린 막내 공주. 왕이 하기 싫어 제멋대로 권력을 휘둘러도 왕국은 태평성대... 여왕 덕에 전성기가 오고 말았다.,레진코믹스
2,2,음지탐구보고서,양말젤리,개그,박사와 조수가 음지문화를 똥인지 된장인지 굳이 찍어먹어 보고 쓰는 연구보고서 만화,레진코믹스
3,3,아버지의 집밥,고리타,드라마,"평생 부엌 근처엔 가본 적도 없는 72세 고하응씨는 45년 간 부엌에 갇혀 밥만 지어온 아내 안순애의 고마움도 모른채 삼시세끼 까탈스레 집밥만 찾는다. 어느날 아내가 사고로 레시피에 대한 모든 기억을 잃어버리고, 남편 고하응은 난생 처음 집밥에 도전한다. 그러나, 고하응씨가 고생 끝에 만든 된장찌개를 맛본 아내는… 집밥과 인생, 가족, 그리고 진심이 맛깔나게 버무려진 <아버지의 집밥>!",레진코믹스
4,4,선화의 그늘가,크림빵디아,백합,"예쁜 외모와 사랑스러운 목소리, 그리고 비상한 두뇌까지 어디 하나 빠지는 구석 없이 누구에게나 사랑받는 '선화'는 단짝 친구인 '규리'를 그 누구보다도 좋아한다. 그렇게 영원히 이어질 것만 같던 관계가 갑작스럽게 흔들리기 시작하는데..",레진코믹스
5,5,부랄친구,한라감귤,개그,"낭랑 18세의 지은은 길건너 옆집에 사는 민철과 10년도 더 된 부랄친구다. 남녀사이에 친구는 없다지만 꾸준히 둘은 친구임을 주장하고 있기를 10여년.. 하지만 아침에 함께 등교, 하교도 같이, 아프면 병문안, 놀러갈 때도 단둘이.. 이런 둘이 정말 단순한 친구 사이로 남을 수 있을까..? 사랑보다 먼~ 우정보다는 가까운~ 지은과 민철의 미묘한 학원일기 [부랄친구]!",레진코믹스
6,6,호환마마,김턱,액션,"조선 팔도에는 산마다 호랑이가 살며, 밤에는 호랑이가 내려와 사람을 먹는 시대.",레진코믹스
7,7,짝꿍이랑 나눠먹는 만화,가량,학원,"소심하고 조용한 서민희, 다정하지만 눈치 없는 짝꿍 김태훈을 짝사랑 하고 있다.",레진코믹스
8,8,바퀴멘터리,박바퀴,일상,제가 이러고 삽니다.,레진코믹스
9,9,안나 이야기,김지효,로맨스,안나는 대장간에서 검 만드는 일을 한다. 어느 날 단골 손님인 알렉스를 숲속 도적떼로부터 구한 이후 그녀의 평범한 일상이 깨지게 되는데…!,레진코믹스
