,id,title,author,genre,story,platform
0,0,진격의 드래곤,강촌,#액션#완결,그가 돌아왔다! 한국인으로서 홍콩 제1의 기업을 일군 드래곤 가문을 지키기 위해!!,탑툰
1,1,오홍련,묵검향,#드라마#무협#완결,천하제일인 '독고청'! 그가 남겼으나 버려진 유산 '총명침'이 단돈 한 냥에 주인을 만났다! 원하든 원치 않던 운명적으로 엮어지는 것… 가만히 있어도 저절로 다가오는 것… 하늘이 정한 인연(因緣)이란 그런 것이다. 바로 '용천산'과 총명침의 만남이 그러하듯…!,탑툰
2,2,마류 [개정판],묵검향,#무협#묵검향#액션#무협#완결,중원에서 가장 유명하고 가장 강한 무인을 꿈꾸는 항주 제일의 점소이 용천산. 어느 날 그에게 찾아온 행운! 중원에서 소문이 자자한 무혈검제 유귀황이 나를 제자로 거두겠대! 드디어 내 인생에 봄날이 찾아오는가! 과연 용천산의 앞날은?,탑툰
3,3,일진교육소,서쿤스,#갱생#일진#일진녀#참교육#학교짱#액션#완결,치외법권 일진교육소에 입소한 전국의 악랄한 일진들이 세력의 균형을 이루는 와중에 동생의 복수를 결심한 전설의 싸움꾼 ‘선우현’이 등장하면서 혼란을 불러일으킨다.,탑툰
4,4,레이디 스칼렛,불고기자리&별찌,#복수#오해#유혹남주#계약관계#로맨스#판타지#완결,"가난한 마시아 남작가의 장녀, '스칼렛 마시아'는 특기인 피아노를 살려 돈을 벌기 위해 수도로 향한다. 3년이 지나 '에드워드 하트'와 결혼을 약속하지만 그에겐 이미 약혼녀가 있어 정부의 오명을 쓰고 쫓겨 나오게 되는데… ""복수하고 싶지 않습니까.. 나랑 같이 해보는 건 어때요? 복수."" '스칼렛'에게 제국 최고의 부자이자 최악의 악명을 가진 '케일런 블랙' 후작이 접근한다.",탑툰
5,5,환생요마,LEYOUYINGHUA,"#환생#무협#액션#공포,스릴러#무협#완결","요양황성 손꼽히는 명문가 이씨 가문의 사생아로 태어난 주인공 이환. 이 씨 집안에서 천대를 받던 이환은 급기야 이복형에게 구타를 당해 어린 나이에 저능아가 되어버린다. 그 뒤 가문 간의 정략결혼에 희생이 되어 용무 장군의 데릴사위로 장가를 들어 황성 내 웃음거리가 되는데... 그러던 중 가문 내 이권다툼에 휘말려 절요연에서 목숨을 잃을 뻔한 이환은 먼 옛날 요황의 피를 이어받아 전혀 새로운 삶을 맞이하게 되고... 그 후 이족을 무찌르고, 만요를 통솔하여 인간 세계를 부흥시키는 패자의 길을 걷게 된 이환의 좌충우돌 환생기!",탑툰
6,6,십병귀,묵검향,#드라마#무협#완결,"마교가 무림을 일통한 지 십 년. 강호의 도의는 땅에 떨어지고 오직 칼의 법칙만이 지배하는 환란의 시대는 끝날 기미를 보이지 않았다. 그러던 어느 날, 혼마가 죽었다. 오십 세에 혼세신교의 교주로 등극, 구십 세에 구주팔황과 사해오호를 정복한 철의 무인은 고락을 함께했던 수백 명의 마군들이 지켜보는 가운데 조용히 숨을 거두었다. 그리고 삼 년 후, 한 사람이 신교를 떠났다.",탑툰
7,7,이세계의 최강레벨업,자수야,#복수#빙의#시스템#판타지#액션#완결,"“용사여, 나를 쓰러트리면 공주는 바로 너의 것이다.” 게임의 마지막 보스몹을 깨는 중요한 순간, 드디어 공주를 영접하나 했더니… 갑자기 컴퓨터 속으로 빨려 들어가 게임 캐릭터 '조방'에게 빙의 되었다. ‘이 풀, 이 땅, 그리고 저 사람들, 모두 리얼하다. 여긴 진짜 현실이야!’ 게임 아이템도 그대로 존재하고 말을 거는 시스템도 있다. 하지만 새로운 현실 속에서 그는 빈털터리 레벨 0의 최약체! 집안에서는 비웃음을 받고 목숨까지 위협당하고 있었다. 어서 빨리 강해져야 해! 과연 그는 이세계에서 살아남을 수 있을까?",탑툰
8,8,심장 없는 엑소시스트,"자강,자강",#소년물#판타지#판타지#완결,"악마의 존재가 잊힌 시대. 악마들과 함께 잊혀가던 엑소시스트 '비첼'과 '제오'가 세상을 떠돈다. 제오는 악마와 싸울수록 특별하고도 위험한 힘을 쓰게 되고, 비첼은 그런 그를 자신이 도울 수 없단 사실에 안타깝기만 하다. 그들이 여정 끝에 보고자 하는 것은 무엇일까?",탑툰
9,9,야성의 축구전사,오일룡,#축구#스포츠#스포츠#완결,지하 축구가 성행하고 있는 이탈리아 시칠리. 그곳에 한 핏줄이자 친구인 조조가 있다면 설령 지옥이라도 찾아가야만 한다!,탑툰
