,id,title,author,genre,story,platform
0,0,나는 엄마다,렁호,"#좀비#엄마되기#생존#아포칼립스#육아#크리처#찐사랑#가족#모성애#드라마#액션#공포,스릴러#월","좀비들이 넘쳐나는 세상, 그곳에서 태어난 작고 소중한 딸 축복이... 괜찮아 딸, 엄마가 괴물이 되더라도 널 지켜 줄 테니까...!",탑툰
1,1,동아리,슈리넬&QRQ,#동아리#캠퍼스#CC#여대생#여선배#여교수#하렘#로맨스#드라마#일상#월,"""너, 딱 내 타입이다!” 우여곡절 끝에 연극영화 동아리 P&M에 입부한 전재우. 그런데 왠 걸? 동아리의 미녀들이 전재우에게 적극적으로 들이댄다! 과연 재우는 그녀들의 육탄 공세에서 살아남아 자신만의 사랑을 쟁취할 수 있을까?",탑툰
2,2,잡배,김용환,#개그#무술#액션#월,"자신의 과거를 모르는 파계승 밤비는 절을 떠나 속세로 내려간다. 오랜 세월 수련에 실패하여 분노만 남은 강철이(이무기)가 세상을 어지럽히며 요괴들이 나타났고, 이에 밤비는 요괴들과 좌충우돌하며 반인반요의 정체성을 깨달아가는데… 누가 인간이고 누가 요괴인지 알 수 없는 잡배들의 고군분투 액션 활극.",탑툰
3,3,무련전봉,막묵/벽가벽,#무협#성장#액션#무협#월#목#토,제자들의 경쟁이 심하기로 이름난 능력지상주의 문파 ‘능소각’. 3년이나 수련을 했지만 종파에서 수련 등급이 가장 뒤처져 동기들에게 갖은 수모를 당하던 ‘양준’은 어느 날 의문의 서책 한 권을 발견한다. 그 서책에는 무도(武道)를 익히는 수련법과 정체 모를 힘이 숨겨져 있는데……,탑툰
4,4,백련성신,은사해탈/연재공작실,#무협#복수#액션#무협#월#수#금,"백만 번의 단련을 통해 신의 경지에 오르다! 집안의 몰락으로 하루아침에 노비가 된 나정이는 매일같이 비참한 나날들을 보낸다. 설상가상, 그의 여동생마저 옥에 갇히자 더욱 절망에 빠지는데…… 그러던 중, 그는 아버지가 자신에게 유물로 남겨준 오래된 서책에서 거대한 힘을 흡수하여 병기가 돼 버리고, 인간과 요족 그리고 마족의 공법을 익히며 악당들과 끊임없이 싸워 나가 운명을 개척하게 된다. 과연, 이 거대하고 신비로운 힘의 정체는 무엇일까? 그리고 그는 과연 여동생을 구할 수 있을 것인가?",탑툰
5,5,전설 헌터로 키워지는 중입니다,Beimuliuhuo&Cat Comics,#게임 판타지#능력물#소년물#헌터#판타지#액션#월,"아버지의 누명을 벗기기 위해 ‘미끼’로 레이드를 뛰어 살아가는 '차낙영'. 죽기 직전의 그 순간, 전설 헌터 육성 시스템이 발동했다. [플레이어와 연결 완료, 전설 헌터 육성 시스템 ARES가 발동합니다]",탑툰
6,6,만고지존,태일생수/잭 노르웨이,#무협#환생#액션#무협#월#목,"자신의 전생이 ""파군무제(破軍武帝)"" 고비훈이었다는 것을 각성한 이운혁. 이제 사람들은 죽은 고비훈의 동상을 도시 한 가운데에 세워두고 그를 기리고 있다. 천무 대륙에서 무도와 제련의 천재로 추앙받던 인재, 고비훈이었던 전생과는 달리 환생한 이운혁의 몸은 경맥도 꽉 막혀있고 수련하기 까다로운 체질이다. 다행인 건 고비훈이던 시절의 무공과 수련법을 그대로 기억하고 있다는 것! 신이 내게 전생을 기억하게 한 건, 지난 생에 못다 이룬 꿈을 이루라는 계시가 아닐까? 나 이운혁이자 파군무제 고비훈, 이제부터 만고(萬古)에 이르는 지존(至尊)이 되리라!",탑툰
7,7,대표님의 삐뚤어진 사랑,Hongshu&Rose Studio,#대표님#두근두근#로맨스#계약연인#새로운만남#월#목,"""도망쳐 봐야 내 손바닥 안이지."" 자신을 버린 전 남자 친구에게 복수하기 위해 악마 같은 남자 강재준과 계약을 하게 된 문가영. 그런데 이 남자 정말 괜찮은 걸까?",탑툰
8,8,악역 플레이어는 강해지고 싶다,Anything&Yuedongwenhua,#소년물#시스템#룰렛#판타지#액션#월#화#목#금#일,"갑작스런 교통사고로 죽음을 맞이할 뻔했지만 영문도 모른 채 살아나버린(?) '여우주'. 그날, '여우주'의 눈앞에 정체를 알 수 없는 시스템창이 떠오른다. -비호감도가 올라갑니다- -룰렛을 돌릴 수 있게 됩니다!- ""룰렛을 돌리면 아이템을 얻을 수 있다니! 이걸 팔면 나는…"" 아이템을 팔아 갑부가 되는 망상에 잠겨있던 '여우주', 하지만 그의 앞을 가로막는 강적들이 나타나는데…!",탑툰
9,9,신혼무제,정의선생&DXD Animation,#성장물#소년물#신혼#액션#무협#월,"대봉 왕조의 강천 마을에 사는 소년 '임찬'. 그가 각성한 신혼은 폐신혼으로, 뭇사람의 비웃음을 산다. 그러나 그의 신혼인 생사관은 10대 신혼 중 하나로 특별한 힘을 가진 특수 신혼이었는데… 게다가, 생사관에 자신의 영혼을 숨겨두었던 능력과 미모를 갖춘 '궁천설'을 만나게 되면서 그녀의 도움으로 그는 신혼무제의 자리까지 오르게 된다.",탑툰
10,10,최강인데 또 레벨업,Changpan Warrior,#먼치킨#생존#소년물#판타지#액션#월#화#목#금#토,"대기업 천신 바이오의 계략으로 이상 현상과 변이 생물이 출현하는 후문명시대의 지구. 평범한 대학생 '하민재'는 고향으로 돌아가던 도중, 자신의 특별한 능력을 각성하게 된다. 자신을 눈엣가시로 여기며 제거하려는 천신 '바이오'에 맞서, '하민재'는 끊임없이 강해진다!",탑툰
11,11,퀘스트: 지상 최고의 산적,열문&tencent&나하마 대왕,#게임#게임빙의#퀘스트#판타지#액션#월,"평범한 대학생이자 게임 매니아였던 '정기준'. <마인드 오브 밴디트>라는 산적 컨셉을 가진 MMORPG 게임을 플레이 하던 중, TV에서 나온 빛에 의해 정신을 잃고 쓰러진다. 그가 다시 일어났을 땐 <마인드 오브 밴디트>의 세계. 심지어 게임을 시작하자마자 멸문당할 예정인 산적단, 섬여단 두목의 아들로 깨어나게 된다. 그러던 중 시스템 안내자라는 여성이 등장하며 위기에 처한 섬여단을 부흥시키지 못하면 로그아웃, 즉 죽음을 맞이하게 된다며 퀘스트를 던져주는데... 깨어나자마자 위기에 봉착한 '정기준', 게임 속 세계에서 최강의 산적이 되어 섬여단을 부흥시키기 위한 가슴 뛰는 여정이 시작된다.",탑툰
12,12,우리 아빠가 대표님이래요,에코스튜디오,#현대물#복수#오피스#로맨스#드라마#월#목,"""아빠라고… 불러도 돼요?"" 엄마의 손에 홀로 키워진 '은호'에게 갑자기 나타난 아빠! 그런데… 아빠가 생긴 건 좋지만, '은호'의 눈엔 둘의 사이가 조금 미묘해 보인다. 엄마, 아빠와 행복하게 살고싶은 '은호'의 바람은 이루어질 수 있을까?",탑툰
13,13,요신기,아이리더,#요괴#수련#소년물#액션#무협#월,"최강 음양사인 비류는 전장에서 죽음을 맞이하지만 신비한 힘이 있는 ""시공요괴의서""를 발견하게 되고 그로 인해 환생하게 된다. 과거의 적과 그들에 대한 복수의 마음으로 다시 처음부터 수련을 해나가는 비류! 과연 그는 다시 최강의 자리에 오를 수 있을까?",탑툰
14,14,독보다 강한 꽃,열문만화&목단풍&한태문화,#빙의#시대물#로맨스#드라마#판타지#월,"특수요원의 캡틴인 '영설'은 잠에서 깨어나보니 고대 복장을 하고 철창 안에 갇혀 있는 자신을 발견한다. '영설', 장공국 '정원후'의 외동딸이었던 그녀는 8살 때 부모님을 여의고 홀로 다 쓰러져가는 정원후부를 가까스로 유지해왔다. 하지만 자신의 정혼자인 6황자는 그녀의 마음도 모른 채 그녀와 파혼하기 위해 온갖 수단을 써왔다. 특수요원 '영설'은 다시 태어난 이곳 장공국에서 자신을 모함하고 해치려는 자들을 과연 어떤 방법으로 혼쭐내줄 생각인 걸까? 그리고 그녀는 과연 정원후부를 어떻게 다시 일으켜 세울 것인가!",탑툰
15,15,왕이 돌아왔도다,로묘,#출생의 비밀#성장#각성#액션#무협#월,"출생의 비밀을 안고 태어난 무술 강자, '소재현'. 그는 무술대회에서 이겨 봉령단을 받아 고모의 다리를 고치는 소박한 꿈을 가지고 있었지만 하루살이처럼 꼬여대는 사도 가문을 시작으로 첩첩산중으로 나타나는 강자들과의 혈투를 피하기 어려워진다. 날이 갈수록 힘들어지는 상황 속에서 죽은 줄만 알았던 전설 속 소가(家)의 최강자가 돌아왔다는 소식에 대전장마저 혼란스러워지고...강호 고수들과의 계속되는 결투, 그리고 여인들과의 사랑. 그 속에서 '소재현'은 제 출생의 비밀과 마주하게 된다.",탑툰
16,16,링 오브 가디언,열문X대행도,#반지#시스템#좀비#판타지#액션#월,"자신을 지원해 주고 보호해 줄 부모도 없이 아득바득 아르바이트와 장학금으로 생계를 유지하고 있던 '김우혁'은 한 반지를 줍게 된다. [ 앞으로 16시간 내로 지구에 생화확적 바이러스가 폭발해 좀비가 창궐하게 됩니다. 넘버 제로, 인류를 구원하십시오. ] 반지의 허무맹랑한 말에 '우혁'의 인생은 완전히 뒤바뀌어버린다. '우혁'은 과연 좀비들을 모두 물리치고 인류를 구할 수 있을까?",탑툰
17,17,왕위 계승자 때려치겠습니다,텐센트동만,#환생#이세계#괴물#판타지#액션#월,"루게릭 병으로 병원에서 죽음을 맞이하게 된 '김선우',는 '아르탄 행성'이라는 곳에서 환생하게 된다. 그곳은 지구와 비슷하지만 괴물과 초능력자들이 대립하는 세상이고, '선우'는 황제 '강현'에게 선택받아 이곳으로 넘어오게 된 왕위 계승자였던 것이다. 하지만, '김선우'는 모처럼 얻은 새 인생을 왕 같은 귀찮은 일에 시간을 소비하고 싶지 않아 하는데...",탑툰
